major_title,median_earnings,median_debt,earn_premium,est_payback_years,programs_count
Pastoral Counseling and Specialized Ministries,35364.5,24775.0,-20035.5,,34
Zoology/Animal Biology,35138.5,23250.0,-20261.5,,58
Theological and Ministerial Studies,34877.0,23456.0,-20523.0,,31
Audiovisual Communications Technologies/Technicians,34722.5,27000.0,-20677.5,38.41,34
Religion/Religious Studies,34661.5,24174.5,-20738.5,130.785,50
Film/Video and Photographic Arts,34614.0,24000.0,-20786.0,245.45499999999998,184
Culinary Arts and Related Services,34426.5,27000.0,-20973.5,,32
"English Language and Literature/Letters, Other",34198.5,20427.0,-21201.5,,18
Fine and Studio Arts,33857.0,23629.5,-21543.0,28.485,488
Music,33086.0,25000.0,-22314.0,192.835,297
"Visual and Performing Arts, General",32053.0,23625.0,-23347.0,22.974999999999998,86
Drama/Theatre Arts and Stagecraft,27848.0,23750.0,-27552.0,232.67,301
Dance,25554.5,24750.0,-29845.5,,70
