school,midcareer_pay,annual_cost,median_debt,total_cost,roi_debt_adjusted,earn_premium,break_even_years,sector
Art Center College of Design,71958.0,51640.0,26000.0,51640.0,-0.1100309837335399,33538.0,2.3149859860456794,Private_nonprofit
Associated Technical College-Los Angeles,24368.0,,9500.0,,,-14052.0,,Private_forprofit
Associated Technical College-San Diego,26688.0,,9500.0,,,-11732.0,,Private_forprofit
Azusa Pacific University,66677.0,43600.0,19710.0,43600.0,0.07722477064220183,28257.0,2.240506777081785,Private_nonprofit
Bakersfield College,37291.0,1430.0,9500.0,1430.0,18.434265734265733,-1129.0,,Public
Barstow Community College,35104.0,1104.0,3463.0,1104.0,27.660326086956523,-3316.0,,Public
Bellus Academy-Chula Vista,23576.0,,6333.0,,,-14844.0,,Private_forprofit
Bethesda University,,7220.0,7648.0,7220.0,,,,Private_nonprofit
Biola University,56778.0,46704.0,19000.0,46704.0,-0.19111853374443302,18358.0,3.579039111014272,Private_nonprofit
Brownson Technical School,68767.0,,9500.0,,,30347.0,,Private_forprofit
Bryan University,40283.0,12185.0,13763.0,12185.0,1.1764464505539598,1863.0,13.928073000536768,Private_forprofit
Butte College,41810.0,1336.0,8250.0,1336.0,24.119760479041915,3390.0,2.8277286135693216,Public
California Institute of Integral Studies,48848.0,,18750.0,,,10428.0,,Private_nonprofit
Cabrillo College,44114.0,1270.0,9500.0,1270.0,26.25511811023622,5694.0,1.8914646996838778,Public
California Baptist University,61504.0,39720.0,20500.0,39720.0,0.032326283987915407,23084.0,2.6087333217813202,Private_nonprofit
California College of the Arts,49414.0,57946.0,19500.0,57946.0,-0.4837607427605012,10994.0,7.044387847917045,Private_nonprofit
University of California College of the Law-San Francisco,,,,,,,,Public
California Institute of Technology,128566.0,63255.0,12000.0,63255.0,0.8427950359655363,90146.0,0.8348124154149934,Private_nonprofit
California Lutheran University,68712.0,50670.0,18970.0,50670.0,-0.018314584566804817,30292.0,2.2989568202825827,Private_nonprofit
California Polytechnic State University-San Luis Obispo,90768.0,11075.0,15396.0,11075.0,5.805598194130925,52348.0,0.5056735691908,Public
Alliant International University-San Diego,66666.0,13918.0,12500.0,13918.0,2.8917947981031755,28246.0,0.9352828719110671,Private_forprofit
California State University-Bakersfield,59009.0,7696.0,11270.0,7696.0,5.203092515592515,20589.0,0.9211714993443101,Public
California State University-Stanislaus,63188.0,7826.0,11750.0,7826.0,5.572706363404038,24768.0,0.790374677002584,Public
California State University-San Bernardino,59977.0,7675.0,12445.0,7675.0,5.193094462540716,21557.0,0.9333395184858747,Public
California State Polytechnic University-Pomona,71902.0,7439.0,13437.0,7439.0,6.859255276246808,33482.0,0.6234991935965594,Public
California State University-Chico,64172.0,8064.0,14500.0,8064.0,5.159722222222222,25752.0,0.8762037899968934,Public
California State University-Dominguez Hills,57162.0,7064.0,11902.0,7064.0,5.4071347678369195,18742.0,1.0119517660868638,Public
California State University-Fresno,61244.0,6980.0,12463.0,6980.0,5.988681948424069,22824.0,0.8518664563617245,Public
California State University-Fullerton,62951.0,7073.0,12000.0,7073.0,6.203591121164994,24531.0,0.7775060128001304,Public
California State University-East Bay,71401.0,7055.0,12500.0,7055.0,7.348830616583983,32981.0,0.5929171341075165,Public
California State University-Long Beach,64403.0,7008.0,12227.0,7008.0,6.445205479452055,25983.0,0.7402917292075588,Public
California State University-Los Angeles,59211.0,6813.0,11966.0,6813.0,5.934536914721855,20791.0,0.9032273579914386,Public
California State University-Northridge,59115.0,7095.0,12000.0,7095.0,5.6405919661733614,20695.0,0.9226866392848514,Public
California State University-Sacramento,64876.0,7602.0,12500.0,7602.0,5.889765851091818,26456.0,0.759827638342909,Public
University of California-Berkeley,92446.0,14850.0,12000.0,14850.0,4.417239057239057,54026.0,0.49698293414282013,Public
University of California-Davis,80838.0,15247.0,11000.0,15247.0,3.5804420541745916,42418.0,0.61877033334905,Public
University of California-Irvine,80735.0,14237.0,13820.0,14237.0,3.7000772634684274,42315.0,0.6630509275670566,Public
University of California-Los Angeles,82511.0,13747.0,12983.0,13747.0,4.057685313159235,44091.0,0.6062461726883037,Public
University of California-Riverside,67699.0,14170.0,14944.0,14170.0,2.723006351446718,29279.0,0.9943645616312032,Public
University of California-San Diego,84943.0,15265.0,14778.0,15265.0,3.5964624959056666,46523.0,0.6457666100638394,Public
University of California-San Francisco,,,,,,,,Public
University of California-Santa Barbara,74915.0,14965.0,11875.0,14965.0,3.2124958235883727,36495.0,0.7354432113988217,Public
University of California-Santa Cruz,68396.0,14560.0,14334.0,14560.0,2.7130494505494505,29976.0,0.9639044568988524,Public
Sofia University,,,,,,,,Private_forprofit
California Beauty School,22255.0,,4369.0,,,-16165.0,,Private_forprofit
Haven University,,7010.0,,7010.0,,,,Private_nonprofit
California Hair Design Academy,19347.0,,6028.0,,,-19073.0,,Private_forprofit
California Institute of the Arts,41198.0,56724.0,16994.0,56724.0,-0.5733023059022636,2778.0,26.536357091432684,Private_nonprofit
California State University Maritime Academy,94784.0,7672.0,16889.0,7672.0,9.153154327424401,56364.0,0.43575686608473496,Public
California Western School of Law,,,,,,,,Private_nonprofit
Canada College,50087.0,1332.0,9272.0,1332.0,29.64189189189189,11667.0,0.9088883174766436,Public
College of the Canyons,49022.0,1176.0,6375.0,1176.0,35.26445578231292,10602.0,0.7122241086587436,Public
Career Academy of Beauty,24410.0,,6279.0,,,-14010.0,,Private_forprofit
Casa Loma College-Los Angeles,49854.0,,20245.0,,,11434.0,,Private_nonprofit
CET-San Diego,32986.0,,6729.0,,,-5434.0,,Private_nonprofit
CET-San Jose,32986.0,,6729.0,,,-5434.0,,Private_nonprofit
CET-El Centro,32986.0,,6729.0,,,-5434.0,,Private_nonprofit
CET-Colton,32986.0,,6729.0,,,-5434.0,,Private_nonprofit
CET-Watsonville,32986.0,,6729.0,,,-5434.0,,Private_nonprofit
CET-Salinas,32986.0,,6729.0,,,-5434.0,,Private_nonprofit
Cerritos College,41156.0,1364.0,8350.0,1364.0,23.05131964809384,2736.0,3.550438596491228,Public
Cerro Coso Community College,34963.0,1384.0,5500.0,1384.0,20.28829479768786,-3457.0,,Public
Chabot College,48143.0,1150.0,8973.0,1150.0,33.06086956521739,9723.0,1.0411395659775788,Public
Chaffey College,42975.0,1184.0,4325.0,1184.0,31.64358108108108,4555.0,1.2094401756311746,Public
Chapman University,70070.0,62784.0,17750.0,62784.0,-0.16666666666666666,31650.0,2.5445181674565562,Private_nonprofit
Charles R Drew University of Medicine and Science,83438.0,18933.0,14750.0,18933.0,2.627951196323879,45018.0,0.7482118263805589,Private_nonprofit
Concordia University-Irvine,65083.0,41390.0,19000.0,41390.0,0.11338487557381009,26663.0,2.264936428758954,Private_nonprofit
San Diego Christian College,49766.0,26300.0,13000.0,26300.0,0.3979467680608365,11346.0,3.4637757800105766,Private_nonprofit
